text,score
अनौपचारिक,0
मृत,-1
परवर्ती,0
"अच्छा,बढ़िया",1
"सौभाग्यशाली,खुशकिस्मत,खुशनसीब,तक़दीर_वाला,नसीब_वाला,भाग्यवान,भाग्यशाली,ख़ुशक़िस्मत,ख़ुशनसीब",1
"दुर्भाग्यशाली,अभागा,बदनसीब,भाग्यहीन,मनहूस,बदकिस्मत,मंदभाग्य,बदक़िस्मत,दईमारा,कमबख्त,कमबख़्त,अधन्य,अभागी",-1
"आवासहीन,आश्रयहीन,गृहहीन,गृहविहीन,बेघर,बेघरबार,अगतिक,अगेह,अनिकेत",-1
"सुगंधित,सुगन्धित,ख़ुशबूदार,सुगंधपूर्ण,सुरभित,अधिवासित,खुशबूदार",0
"बदबूदार,दुर्गंधपूर्ण,दुर्गंधयुक्त,दुर्गंधित",-1
"लगा,लगा_हुआ",0
ढीला,-1
"अश्लिष्ट,असंयुक्त,असंयोजित,असंबद्ध,अलग,अजुड़ा,अजोड़,पृथक्,जुदा,पृथक,अपृक्त",-1
"पराधीन,गुलाम,परतंत्र,अन्याधीन,अपरवश,परवश,अवश,अबस",-1
"अधिकतः,अधिकांशतः,प्रायः",1
"ताज़ा,ताजा,अम्लान",1
"बासी,बसिया",-1
"कठिनाई_से,जैसे_तैसे,मुश्किल_से,कठिनतः",-1
ढीला,-1
सड़ा,-1
"जड़,अचैतन्य,जड़त्वयुक्त,स्थूल,अजैव,भौतिक,अचेतन,चेतनारहित,अजीव,अनात्म,आत्मारहित",-1
"हत,वधित,मक़तूल",-1
"दोस्ताना,मित्रवत,मित्रतापूर्ण,मित्रोचित,मैत्रीपूर्ण",1
मृतजात,-1
"बर्फीला,बर्फानी,बर्फानी,बर्फ़ानी,बर्फ़ीला,बरफीला,बरफानी,बरफानी,बरफ़ानी,बरफ़ीला,हिमयुक्त",-1
"फलदार,फलद,फलदायी,फलदायक",1
"अफल,अफलित,फलहीन,फलरहित,फलविहीन",0
"असफल,नाकामयाब,विफल,नाकाम,निष्फल",-1
"निस्संतान,निःसंतान,बेऔलाद,संतानहीन,संतानरहित,अऊत,अनपत्य",-1
"भली-भाँति,भली_भाँति,भरपूर,भलीभाँति,भली-भांति,भली_भांति,भलीभांति",1
"रिक्त,ख़ाली,खाली,रीता,शून्य",-1
संरचनात्मक,0
"चटोरा,स्वादलोलुप,चटोर",0
"पंखहीन,पक्षरहित,अपक्ष,अपच्छी,अपत्र",-1
"धड़कना,स्पंदित_होना",0
"अतकनीकी,ग़ैरतकनीकी,गैरतकनीकी,तकनीकहीन,प्राविधिहीन",0
"उदार,विशालहृदय,उदारचरित,उदारचेता,दरियादिल,उदरचित्त,उदारमना,अकृपण",1
"निरोगता,आरोग्यता,स्वस्थता,सेहतमंदी,अनामय,तंदुरुस्ती",1
"दुर्गुणी,अगुणी,अपगुणी,ऐबी,खोटा",0
"विपरीत,प्रतिकूल,खिलाफ,ख़िलाफ़,विरुद्ध,प्रतीप",0
"महत्वाकांक्षी,उच्चाकांक्षी,बुलंदपरवाज़",0
"सज्जन,भद्र,भला,शरीफ़,शीलवान,सद्गुणी,नेक,सुप्रतीक,शरीफ",0
"कुस्वभावी,कुबुद्धि,दुश्शील,बदमिज़ाज,बदमिजाज",-1
सहज,-1
"प्रवाहित,बहता,बहता_हुआ,प्रवाहशील,प्रवाहमय,गतिशील,गतिमान,प्रवाही",1
"अनपेक्षित,अप्रत्याशित,निरपेक्षित",-1
"ढलवाँ,ढलुवाँ,ढालवाँ,ढालू,ढलुआ,ढलाऊ,उतारू",-1
"निकम्मा,निठल्ला,अकर्मण्य,निखट्टू,अनेरा,बेकार,फालतू,गायताल,अकर्मा,नालायक,ना-लायक,अनलायक",-1
"बेकदर,बेक़दर,बेक़द्र,बेकद्र",0
"फौलादी,इस्पाती,फ़ौलादी,इसपाती",0
कंठ्य,0
"कठोरहृदय,कठोर_हृदय,पत्थरदिल,संगदिल,पाषाण_हृदय",1
"मादक,नशीला,नशेदार",1
"हानिकारक,क्षतिकारी,हानिकर,नुक़सानदेह,नुकसानदेह,हानिप्रद,अनर्थकारी,क्षतिकर",0
अपमानजनक,-1
"कुमारी,कुँआरी,कुमारिका,कुँवारी,क्वाँरी,कुंवारी,कँवारी",-1
"जंतु,जन्तु,प्राणी,जीव,जानवर,जीवधारी,जानदार",-1
"स्वस्थ,निरोग,नीरोग,तंदुरुस्त,अच्छा,सेहतमंद,भला-चंगा,व्याधिहीन,रोगहीन,आरोग्य,चंगा,बहाल,निरामय,अनामय,अगद,अभुग्न",1
"स्वर्गीय,स्वर्गिक,दिव्य,वैकुंठीय,स्वर्गी,बहिश्ती,बिहिश्ती",1
अभी_भी,0
"अब,अबकी,इसबार,अब_की,इस_बार",1
"अभी-अभी,अभी_अभी,अभी_ही,इसी_वक्त,इसी_क्षण",-1
"दयापूर्वक,कृपा_कर_के,कृपापूर्वक,दया_से,बराए_मेहरबानी",1
गूदेदार,0
"आत्म_विषयक,आत्मा_विषयक,अध्यात्म,आत्मिक,रूहानी",1
"सैद्धांतिक,सिद्धांतीय",0
रक्तहीन,0
श्रेयस्कर,1
अनुकरणीय,1
"सत्कृत,आदृत,सत्कार_कृत",1
"उल्लेखनीय,उल्लेख्य",1
"निंदनीय,निन्दनीय,निद्य,निंदात्मक",-1
"दुविधाहीन,दुबिधाहीन,संदेहहीन,संशयहीन",-1
"परे,आगे,बाद",0
"फिलहाल,फ़िलहाल,अब,वर्तमान_में,आज-कल,आजकल,आज_कल,इन_दिनों,इस_समय,संप्रति",0
"अप्रसन्नतापूर्वक,नाराज़गीपूर्वक,नाख़ुशी_से,नाराजगीपूर्वक,नाखुशी_से",-1
